PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
0157131105083,COT,PD,Single-Family Neighborhoods,DEER RUN PUD SECOND AMD
0157131106001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106002,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106003,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106004,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106005,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106006,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106007,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106009,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106010,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106010,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106011,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106011,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106012,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106012,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106013,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106013,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106014,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106015,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106015,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106016,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106016,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106017,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106018,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106018,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106019,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106020,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106020,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106021,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106021,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106022,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131106022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106023,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106027,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106029,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106030,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106031,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106032,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106033,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106034,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106035,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106036,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106037,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106038,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106039,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106040,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106041,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106042,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106043,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106044,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106045,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106046,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106047,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106048,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106049,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106050,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106051,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106052,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131106053,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131106054,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131106055,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107002,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107003,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107004,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107005,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107006,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107007,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107009,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107010,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107011,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107018,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107020,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107021,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107023,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107024,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107025,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107026,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107027,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107029,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107030,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107031,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107032,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107033,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107034,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107035,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107036,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107037,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107038,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107039,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107040,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107041,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107042,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107043,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107044,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107045,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107046,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107047,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107048,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107049,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107050,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131107053,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107055,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107056,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107057,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107058,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107059,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107060,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131107061,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108003,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108004,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108005,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108006,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108007,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108009,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108010,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108011,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108012,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108013,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108015,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108016,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108018,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108023,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108027,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108029,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108030,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108031,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108032,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108033,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108034,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108035,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108036,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108038,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108039,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131108041,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108042,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108043,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108044,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108045,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108046,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108047,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131108048,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109002,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109003,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109004,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109007,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109011,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109012,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109013,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109015,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109016,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109018,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109020,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109021,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109024,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109025,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109029,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109032,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109033,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109034,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109035,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109036,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109037,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109038,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109039,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109040,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109041,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109042,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109043,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109044,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109045,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109046,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131109047,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109048,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109049,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109050,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109051,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109052,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109053,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109054,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131109055,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110002,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110009,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110010,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110011,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110012,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110013,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110015,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110016,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110018,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110020,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110021,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110023,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110024,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110025,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110026,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110027,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110032,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110034,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110035,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110036,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110037,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110038,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110039,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110040,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110041,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110042,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110043,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110044,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110045,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110046,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110047,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110048,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110049,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110050,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110051,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110052,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110053,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110054,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110056,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110057,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110058,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110059,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110060,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110061,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110062,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110063,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110064,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131110065,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131110066,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111002,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111003,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111005,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111007,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111009,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111010,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111012,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111013,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111015,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111018,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111020,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111021,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111023,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111024,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111025,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111026,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111027,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111029,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111030,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111031,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111032,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111033,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111034,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111035,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111036,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111037,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111038,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111039,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111040,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111042,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111046,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111047,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111048,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111049,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111050,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111051,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111052,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111053,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111054,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131111055,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111056,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111057,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111058,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111059,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111060,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111061,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131111062,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131112001,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112002,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112003,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112004,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112005,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112006,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112007,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112008,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112009,COT,PD,"Parks, Trails, and Open Space",DEER RUN PUD
0157131112010,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112011,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112012,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112013,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112014,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112015,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112016,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112017,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112019,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112020,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112021,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112022,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112023,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112024,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112025,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112026,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112027,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112028,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112029,COT,PD,Single-Family Neighborhoods,DEER RUN PUD
0157131112030,COT,PD,Single-Family Neighborhoods,DEER RUN PUD FIRST AMD
0157131113009,COT,PD,Single-Family Neighborhoods,SHADOW RIDGE MIDDLE SCHOOL
0157131113013,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113014,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113015,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113016,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113017,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113018,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113019,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113020,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113021,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113022,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113023,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113024,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113025,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113026,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113027,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113028,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113029,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113030,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113031,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113032,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113033,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113034,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113035,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113036,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113037,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113038,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113039,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
0157131113040,COT,PD,Single-Family Neighborhoods,BRAMMING FARM SUBDIVISION FLG3
